Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_front,0.088526,4.9542E-05,0.019968,0,0,0,0.87565,0.0014577,3.0574E-07,1.0637E-07,0.0017823,-1.4776E-07,0.0029263,0,0,0,0,0,0,package://loris/meshes/body_front.STL,1,1,1,1,0,0,0,0,0,0,package://loris/meshes/body_front.STL,,RealSenseD435i-1;CameraPivot-1;Mast-1;CameraMount-1;BasePlate-5;XM430-W350-T-24;XM430-W350-T-27;1568A49_Threaded-Hole Round Pull Handle-2,Base Frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_1,0.015026,0.00033378,5.8541E-05,0,0,0,0.10342,2.1451E-05,-4.1299E-07,3.4401E-08,2.5017E-05,1.9009E-08,2.8896E-05,0,0,0,0,0,0,package://loris/meshes/shoulder_1.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://loris/meshes/shoulder_1.STL,,ShoulderBracket-2;XM430-W350-T-28,Shoulder 1 Joint Frame,Shoulder Axis 1,shoulder_joint_1,revolute,0.14145,0.08175,-0.0003,0,0,1.5708,body_front,0,0,-1,0,0,-1.22173,1.22173,,,,,,,,
upper_limb_1,0.0945138162071381,-0.00219435785796701,-0.00808171492908145,0,0,0,0.122852357543703,3.54345460928741E-05,-6.91676719337593E-07,7.99818931512339E-07,3.51134789983964E-05,-2.29657896991753E-12,3.44677592214051E-05,0,0,0,0,0,0,package://loris/meshes/upper_limb_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://loris/meshes/upper_limb_1.STL,,FP04-F4-6;UpperLimb-2;XM430-W350-T-29,Wing 1 Joint Frame,Wing Axis 1,wing_joint_1,revolute,0.02973,0,0,0,0,0,shoulder_1,0,1,0,0,0,-1.2217,1.5708,,,,,,,,
lower_limb_1,0.0385688856224721,-0.0046889638702359,-0.00426946293309724,0,0,0,0.0346530871970472,7.71046451441355E-06,-3.0991220361643E-07,3.24361698315945E-06,1.12808018413156E-05,-4.85311495827955E-12,1.2230867218234E-05,0,0,0,0,0,0,package://loris/meshes/lower_limb_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://loris/meshes/lower_limb_1.STL,,FP04-F2-6;WristInterface-1,Knee 1 Joint Frame,Knee Axis 1,knee_joint_1,revolute,0.11125,0,-0.02275,0,1.5708,0,upper_limb_1,0,1,0,0,0,-1.5708,1.0472,,,,,,,,
gripper_1,0.00454536689668263,6.93889390390723E-16,0.000630502612849193,0,0,0,0.062469295997667,4.42421322057347E-05,3.61359625915917E-20,-8.22176735773703E-07,1.36212602544054E-05,9.93950717413035E-19,3.31611786775593E-05,0,0,0,0,0,0,package://loris/meshes/gripper_1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://loris/meshes/gripper_1.STL,,Palm-1,Gripper 1 Joint Frame,,wrist_joint_1,fixed,0.08595,-0.004,-0.02756,3.1416,0.5236,0,lower_limb_1,0,0,0,,,,,,,,,,,,
shoulder_2,0.0150259998235379,-0.000333783259922532,5.85409408931406E-05,0,0,0,0.103423862682087,2.14513424849859E-05,4.129850457377E-07,3.44007049222985E-08,2.5016622013786E-05,-1.90087151924638E-08,2.88958317731598E-05,0,0,0,0,0,0,package://loris/meshes/shoulder_2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://loris/meshes/shoulder_2.STL,,MirrorShoulderBracket1-3;XM430-W350-T-31,Shoulder 2 Joint Frame,Shoulder Axis 2,shoulder_joint_2,revolute,0.14145,-0.08175,-0.0003,0,0,-1.5708,body_front,0,0,1,0,0,-1.2217,1.2217,,,,,,,,
upper_limb_2,0.0945138162071325,0.00219435308518587,-0.00808171305317626,0,0,0,0.122852357543703,3.5434546092874E-05,6.91673519430068E-07,7.99827494833143E-07,3.51134789983964E-05,-2.29657897060913E-12,3.44677592214051E-05,0,0,0,0,0,0,package://loris/meshes/upper_limb_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://loris/meshes/upper_limb_2.STL,,FP04-F4-7;UpperLimb-3;XM430-W350-T-32,Wing 2 Joint Frame,Wing Axis 2,wing_joint_2,revolute,0.02973,0,0,0,0,0,shoulder_2,0,1,0,0,0,-1.2217,1.570796,,,,,,,,
lower_limb_2,0.0385688863392503,0.00464258079600216,-0.00426946679016998,0,0,0,0.0346531415403108,7.71047098830563E-06,3.09946803224688E-07,3.24361671046111E-06,1.12808083384209E-05,-4.34628827320742E-12,1.22308795663304E-05,0,0,0,0,0,0,package://loris/meshes/lower_limb_2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://loris/meshes/lower_limb_2.STL,,WristInterface-2;FP04-F2-7,Knee 2 Joint Frame,Knee Axis 2,knee_joint_2,revolute,0.11125,0,-0.02275,0,1.5708,0,upper_limb_2,0,1,0,0,0,-1.5708,1.047198,,,,,,,,
gripper_2,0.00454536689668164,-1.63757896132211E-15,0.000630502612847555,0,0,0,0.0624692959976671,4.42421322057347E-05,2.7493038578957E-20,-8.22176735773703E-07,1.36212602544054E-05,9.95083948473638E-19,3.31611786775593E-05,0,0,0,0,0,0,package://loris/meshes/gripper_2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://loris/meshes/gripper_2.STL,,Palm-2,Gripper 2 Joint Frame,Axis_wrist_joint_2,wrist_joint_2,fixed,0.0859500505560914,0.0040000000000015,-0.0275596189432333,-3.14159265358973,0.523598775598298,0,lower_limb_2,0,0,0,,,,,,,,,,,,
body_rear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://loris/meshes/body_rear.STL,1,1,1,1,0,0,0,0,0,0,package://loris/meshes/body_rear.STL,,BasePlate-6;SwitchCalterm40391-1;XM430-W350-T-30;TailBearingMount-2;XM430-W350-T-26;XM430-W350-T-25,Body Joint Frame,Spine Axis,spine_joint,revolute,0,0,0,0,0,-3.1416,body_front,0,1,0,0,0,0,0,,,,,,,,
shoulder_3,0.015026,-0.00033378,5.8541E-05,0,0,0,0.10342,2.1451E-05,4.1299E-07,3.4401E-08,2.5017E-05,-1.9009E-08,2.8896E-05,0,0,0,0,0,0,package://loris/meshes/shoulder_3.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://loris/meshes/shoulder_3.STL,,MirrorShoulderBracket2-4;XM430-W350-T-33,Shoulder 3 Joint Frame,Shoulder Axis 3,shoulder_joint_3,revolute,0.14145,-0.08175,-0.0003,0,0,-1.5708,body_rear,0,0,-1,0,0,-1.22173,1.22173,,,,,,,,
upper_limb_3,0.0945138162071374,0.00219435308517341,-0.00808171305317623,0,0,0,0.122852357543703,3.54345460928741E-05,6.91673519430081E-07,7.99827494833136E-07,3.51134789983964E-05,-2.296578964901E-12,3.44677592214051E-05,0,0,0,0,0,0,package://loris/meshes/upper_limb_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://loris/meshes/upper_limb_3.STL,,FP04-F4-8;UpperLimb-4;XM430-W350-T-34,Wing 3 Joint Frame,Wing Axis 3,wing_joint_3,revolute,0.02973,0,0,0,0,0,shoulder_3,0,1,0,0,0,-1.2217,1.570796,,,,,,,,
lower_limb_3,0.0385688856224716,0.00464256533127552,-0.00426946293309863,0,0,0,0.0346530871970472,7.71046451441356E-06,3.09940633207535E-07,3.24361698315945E-06,1.12808018413156E-05,-4.85311495856079E-12,1.2230867218234E-05,0,0,0,0,0,0,package://loris/meshes/lower_limb_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://loris/meshes/lower_limb_3.STL,,FP04-F2-8;WristInterface-3,Knee 3 Joint Frame,Knee Axis 3,knee_joint_3,revolute,0.11125,0,-0.02275,0,1.5708,0,upper_limb_3,0,1,0,0,0,-1.5708,1.047198,,,,,,,,
gripper_3,0.00454536689668293,-1.07414077632484E-14,0.000630502612850609,0,0,0,0.062469295997667,4.42421322057347E-05,2.377931455821E-20,-8.22176735773704E-07,1.36212602544054E-05,9.96605194373943E-19,3.31611786775593E-05,0,0,0,0,0,0,package://loris/meshes/gripper_3.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://loris/meshes/gripper_3.STL,,Palm-3,Gripper 3 Joint Frame,,wrist_joint_3,fixed,0.08595,0.004,-0.02756,-3.1416,0.5236,0,lower_limb_3,0,0,0,,,,,,,,,,,,
shoulder_4,0.0150259998235409,0.000333783259930026,5.85409408929308E-05,0,0,0,0.103423862682087,2.14513424849859E-05,-4.12985045737696E-07,3.44007049223006E-08,2.5016622013786E-05,1.90087151924605E-08,2.88958317731599E-05,0,0,0,0,0,0,package://loris/meshes/shoulder_4.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://loris/meshes/shoulder_4.STL,,MirrorMirrorShoulderBracket1-5;XM430-W350-T-35,Shoulder 4 Joint Frame,Shoulder Axis 4,shoulder_joint_4,revolute,0.14145,0.08175,-0.0003,0,0,1.5708,body_rear,0,0,1,0,0,-1.22173,1.22173,,,,,,,,
upper_limb_4,0.0945138162071422,-0.00219435785796188,-0.00808171492908136,0,0,0,0.122852357543703,3.54345460928741E-05,-6.91676719337609E-07,7.99818931512324E-07,3.51134789983964E-05,-2.29657895887271E-12,3.44677592214051E-05,0,0,0,0,0,0,package://loris/meshes/upper_limb_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://loris/meshes/upper_limb_4.STL,,FP04-F4-9;UpperLimb-5;XM430-W350-T-36,Wing 4 Joint Frame,Wing Axis 4,wing_joint_4,revolute,0.02973,0,0,0,0,0,shoulder_4,0,1,0,0,0,-1.2217,1.570796,,,,,,,,
lower_limb_4,0.0385688855605905,-0.00468896381981812,-0.00426946308940729,0,0,0,0.0346530875935727,7.71046452353352E-06,-3.09912165324858E-07,3.24361692446777E-06,1.12808019629095E-05,-4.80841621684181E-12,1.22308673032485E-05,0,0,0,0,0,0,package://loris/meshes/lower_limb_4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://loris/meshes/lower_limb_4.STL,,FP04-F2-9;WristInterface-4,Knee 4 Joint Frame,Knee Axis 4,knee_joint_4,revolute,0.11125,0,-0.02275,0,1.5708,0,upper_limb_4,0,1,0,0,0,-1.570796,1.047198,,,,,,,,
gripper_4,0.00454536689667982,1.301736496373E-14,0.000630502612845113,0,0,0,0.0624692959976671,4.42421322057348E-05,3.10777117557768E-20,-8.22176735773723E-07,1.36212602544054E-05,1.01076571805027E-18,3.31611786775593E-05,0,0,0,0,0,0,package://loris/meshes/gripper_4.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://loris/meshes/gripper_4.STL,,Palm-4,Gripper 4 Joint Frame,Axis_wrist_joint_4,wrist_joint_4,fixed,0.0859500505560914,-0.00399999999998341,-0.0275596189432316,3.14159265358978,0.523598775598299,0,lower_limb_4,0,0,0,,,,,,,,,,,,
tail,0.18849,6.3748E-05,0.0018175,0,0,0,0.082326,1.3134E-05,9.8923E-07,-1.0874E-05,0.00092502,9.5373E-09,0.00093486,0,0,0,0,0,0,package://loris/meshes/tail.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://loris/meshes/tail.STL,,TailShell-4,Tail Joint Frame,Tail Axis,tail_joint,revolute,0.1657,0,0,0,0,0,body_rear,0,1,0,0,0,-1.3963,1.3963,,,,,,,,
